AnimalID,AnimalType,Breed,Color,Sex,IntakeType,IntakeCondition,AgeInDays,AgeGroup,breed_type,Color_grouped,Season,OutcomeClass
A664380,Cat,Domestic Medium Hair Mix,Calico,Intact Female,Stray,Normal,150.0,Cachorro (<6m),mix,Monocolor,Otoño,Transfer
A650409,Dog,Australian Kelpie/Pit Bull,Black,Spayed Female,Public Assist,Normal,1095.0,Adulto (3-7a),purebred,Monocolor,Otoño,Return to Owner
A765336,Dog,Pit Bull Mix,White/Brown Brindle,Spayed Female,Stray,Injured,365.0,Adulto joven (1-3a),mix,Bicolor,Verano,Adoption
A734704,Dog,Pit Bull Mix,Fawn/White,Intact Male,Stray,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Otoño,Adoption
A683973,Cat,Russian Blue Mix,Blue,Neutered Male,Stray,Injured,1825.0,Adulto (3-7a),mix,Monocolor,Verano,At Risk
A748592,Cat,Domestic Shorthair Mix,Black,Intact Female,Stray,Normal,30.0,Cachorro (<6m),mix,Monocolor,Primavera,Adoption
A792389,Cat,Domestic Shorthair Mix,Brown Tabby/White,Intact Male,Stray,Sick,2.0,Cachorro (<6m),mix,Bicolor,Primavera,Transfer
A683493,Dog,Chihuahua Shorthair Mix,Black/Brown,Intact Female,Stray,Injured,730.0,Adulto joven (1-3a),mix,Bicolor,Verano,Adoption
A723368,Cat,Siamese Mix,Tortie Point,Intact Female,Stray,Normal,1095.0,Adulto (3-7a),mix,Monocolor,Primavera,Transfer
A722265,Cat,Domestic Shorthair Mix,White/Brown Tabby,Intact Female,Stray,Normal,28.0,Cachorro (<6m),mix,Bicolor,Primavera,Adoption
A654782,Dog,Pointer/Labrador Retriever,White/Black,Spayed Female,Owner Surrender,Normal,330.0,Joven (6m-1a),purebred,Bicolor,Otoño,Adoption
A762207,Cat,Domestic Shorthair Mix,Tortie,Intact Female,Stray,Normal,21.0,Cachorro (<6m),mix,Monocolor,Otoño,Adoption
A776197,Cat,Domestic Shorthair Mix,Black/White,Neutered Male,Owner Surrender,Normal,4745.0,Senior (>7a),mix,Bicolor,Verano,Transfer
A706503,Dog,Pit Bull Mix,Blue/White,Intact Female,Stray,Normal,180.0,Joven (6m-1a),mix,Bicolor,Verano,Adoption
